symbol
RELIANCE
SBIN
TATAMOTORS
BEL
HAL
HINDALCO
JSWSTEEL
KOTAKBANK
ADANIENT
TCS
INFY
LT
ICICIBANK
AXISBANK
BAJFINANCE
BAJAJFINSV
DLF
PFC
RECLTD
COALINDIA
